event_type,created_at,company,title,location,expertise/department,url
removed,2026-06-17T00:48:01+00:00,Mercor,Python SWE,Remote,Software Engineering,https://work.mercor.com/jobs/list_AAABl8f-EJV6TYkTcM1LxpPK
removed,2026-06-17T00:48:01+00:00,Mercor,Pharmacists Survey – Retail & Community Pharmacy Insights,Remote,Medicine,https://work.mercor.com/jobs/list_AAABnlNQ7zaGwxjcZptC5oOY
removed,2026-06-17T00:48:01+00:00,Mercor,Clinicians Survey – Ambulatory & Community Care Insights,Remote,Medicine,https://work.mercor.com/jobs/list_AAABnlNc5vKNKKMWYLxGQ7NX
removed,2026-06-17T00:48:01+00:00,Mercor,UK-Based Top Business School Graduates / Faculty,Remote,"Life, Physical, and Social Science",https://work.mercor.com/jobs/list_AAABnqhRsibrhpVguw5AiI3f
removed,2026-06-17T00:48:01+00:00,Mercor,STEM Computational Scientific Software & Evaluation Design - Seismology & Geophysics,Remote,"Life, Physical, and Social Science",https://work.mercor.com/jobs/list_AAABnqj1wrDexVIkKMlFdr3m
removed,2026-06-17T00:48:01+00:00,Mercor,SALT (State and Local Taxation) Experts,Remote,Law,https://work.mercor.com/jobs/list_AAABnrLzsWeES5emKwdPFLCl
reactivated,2026-06-17T00:48:01+00:00,Mercor,Legal Technology Expert,Remote,Law,https://work.mercor.com/jobs/list_AAABnbZsP8rVe0Qk8aRJY7jZ
discovered,2026-06-17T00:48:01+00:00,Mercor,Litigation Expert,Remote,Law,https://work.mercor.com/jobs/list_AAABnbZyA4_gXfJsVdJPW44R
discovered,2026-06-17T00:48:01+00:00,Mercor,ChatGPT Power User,Remote (US-based only),Miscellaneous,https://work.mercor.com/jobs/list_AAABnplcOw2aDGHJ5LVLMpFM
discovered,2026-06-17T00:48:01+00:00,Mercor,"Mathematics Researchers (India, Part-time)",Remote,"Life, Physical, and Social Science",https://work.mercor.com/jobs/list_AAABns-cOU9t9vRleMhCNJV2
discovered,2026-06-17T00:48:01+00:00,Mercor,"Biology & Biophysics Researchers (India, Part-time)",Remote,"Life, Physical, and Social Science",https://work.mercor.com/jobs/list_AAABns-cPeLh-SZQ3nBLWag4
discovered,2026-06-17T00:48:00+00:00,Meridial,Indian Language Fluency Instructors - Freelance AI Trainer Project,India,Business & Professions,https://job-boards.eu.greenhouse.io/agency/jobs/4900472101
discovered,2026-06-17T00:48:00+00:00,Meridial,Language Fluency Instructors - Freelance AI Trainer Project,United States of America,Business & Professions,https://job-boards.eu.greenhouse.io/agency/jobs/4900436101
discovered,2026-06-17T00:47:59+00:00,Appen,[Vietnamese] - Voice Recording Specialist,United States,AI Trainers - Domain Experts,https://jobs.lever.co/appen/bea969fc-4198-4680-b527-dae3bf67527e
discovered,2026-06-17T00:47:59+00:00,Appen,[Greek] - Voice Recording Specialist,Greece,AI Trainers - Domain Experts,https://jobs.lever.co/appen/d8f7a976-f709-461e-a0a4-96c0c3af2da2
discovered,2026-06-17T00:47:59+00:00,Appen,[Finnish] - Voice Recording Specialist,Finland,AI Trainers - Domain Experts,https://jobs.lever.co/appen/390c47fc-7014-4f8d-aaab-ef635eaf2a48
discovered,2026-06-17T00:47:59+00:00,Appen,[Dutch] - Voice Recording Specialist,Netherlands,AI Trainers - Domain Experts,https://jobs.lever.co/appen/c5a0b7a3-7aa7-490d-b983-9d6dfd480a50
discovered,2026-06-17T00:47:59+00:00,Appen,[Danish] - Voice Recording Specialist,Denmark,AI Trainers - Domain Experts,https://jobs.lever.co/appen/30379e6d-d432-4d72-9453-620f3b3ee21f
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Lightspeed - USA,Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7116?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Lightspeed - United Kingdom,Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7133?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Lightspeed - Norway,Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7149?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Lightspeed - Korea,Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7111?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Lightspeed - India,Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7191?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Lightspeed - China,Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7189?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - Vietnam (Vietnamese),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7144?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - United States (Spanish),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7163?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - United States (English),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7115?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - United Kingdom (English),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7198?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - United Arab Emirates (Arabic),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7144?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - Turkey (Turkish),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7188?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - Thailand (Thai),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7207?from=list&tab=all
discovered,2026-06-17T00:46:31+00:00,OneForma,Internet Judging: Milky Way (Maps Evaluation) - Taiwan (Chinese),Selected Locations,Judging,https://my.oneforma.com/crowd/jobs/7098?from=list&tab=all
