company,title,location,expertise/department,commitment,url,first_seen_at,last_seen_at,is_active
Appen,AI Speech Data Collector; English (Australia),Australia,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/703bcd30-2d96-4f0e-83f4-a390d996c2dd,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,AI Translation Evaluator; Russian-English,Any,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/dc1ac915-13e6-4258-9fe5-203553c345c4,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Computer Voice Rating Task for French (Canada),Canada,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/c955501f-01d4-4363-8b36-1c381e421db4,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Conversational Speech AI Evaluator; Australia (English),Australia,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/d487dc46-6835-466b-9635-02af9858a39a,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Conversational Speech AI Evaluator; Australia (Mandarin Chinese),Australia,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/5886ee49-db3c-440e-b1c3-301165ac8e6d,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Conversational Speech AI Evaluator; Malaysia (Mandarin Chinese),Malaysia,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/57340afe-b04f-4963-b953-f6bea2b0db6e,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Conversational Speech AI Evaluator; Singapore (Mandarin Chinese),Singapore,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/7f0152e1-1f9f-46cd-857c-4127918a80b6,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Conversational Speech AI Evaluator; Taiwan (Mandarin Chinese),Taiwan,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/eeb13ec9-8809-48bc-9111-486939aa0cec,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Conversational Speech AI Evaluator; United States (Mandarin Chinese),United States,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/656a732e-4d97-40e0-ac7b-36ade47ca6c8,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,"EGO Embodied Data Collector Short-Term Project Contractor | Kuala Lumpur, Malaysia",Malaysia,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/62853079-22aa-44dd-9f1e-228832024dd9,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Linguistics Experts in the US — Contribute to AI Speech Annotation!,Any,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/2ffcfdbc-a973-4176-9fdc-74c0e820315f,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Machine Translation Evaluation Q2 – English to German; Project Vistula,Germany,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/a3ba918b-df98-4aac-bb58-b70406974749,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
Appen,Remote Japanese to Thai Translation Project,Japan,AI Trainers - Domain Experts,Independent Contractor - Project Based,https://jobs.lever.co/appen/98bbe8f8-ab5c-48db-bcd6-93a8f747646b,2026-06-15T22:50:13+00:00,2026-06-16T01:07:56+00:00,1
