review_id,candidate_type,source,company,job_id,canonical_opportunity_id,external_id,source_hash,title,url,location,department,expertise,current_language,current_language_locale,current_required_languages,candidate_required_languages,candidate_language_locale,candidate_location_restriction,candidate_pattern,candidate_confidence,evidence_text,risk_notes,suggested_review_action,review_decision,human_required_languages,human_language_locale,human_location_restriction,human_notes,apply_eligible
omgr_oneforma_language-locale_language-dash-locale_6522,language_locale,oneforma,OneForma,6522,521,oneforma::177962::french-france,155a844f12fc65c8a24fb9b30dc1ba95f5019b3d4e3befb272b9c3293ba89e87,Andromeda - French - France,https://my.oneforma.com/webapp/dataCollection/signup?requestId=1802653759969281,Worldwide,Data Collection,Data Collection,,,,French,French France,,language_dash_locale,high,title=Andromeda - French - France; location=Worldwide; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-dash-locale_6526,language_locale,oneforma,OneForma,6526,521,oneforma::177962::spanish-spain,280658b70aa54591b762b49c38879a29d5826f31727edcbca49fd1707df315d0,Andromeda - Spanish - Spain,https://my.oneforma.com/webapp/dataCollection/signup?requestId=1802653992628225,Worldwide,Data Collection,Data Collection,,,,Spanish,Spanish Spain,,language_dash_locale,high,title=Andromeda - Spanish - Spain; location=Worldwide; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-dash-locale_6598,language_locale,oneforma,OneForma,6598,531,oneforma::177728::10528,ba8322d04bd3d85961f77e1c813497c750bff8a1bdc4d2e56ca88863cca1d8b5,Ava Audio Collection - English - Canada,https://my.oneforma.com/crowd/jobs/10528?from=list&tab=all,Worldwide,Data Collection,Data Collection,,,,English,English Canada,,language_dash_locale,high,title=Ava Audio Collection - English - Canada; location=Worldwide; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-dash-locale_6601,language_locale,oneforma,OneForma,6601,531,oneforma::177728::10525,2ee3c30a25ef7538b43fbfdd33ec64b38872c5d6b69ce218813357b2c6ccf439,Ava Audio Collection - English - United States,https://my.oneforma.com/crowd/jobs/10525?from=list&tab=all,Worldwide,Data Collection,Data Collection,,,,English,English United States,,language_dash_locale,high,title=Ava Audio Collection - English - United States; location=Worldwide; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-dash-locale_6602,language_locale,oneforma,OneForma,6602,531,oneforma::177728::10516,226d626573de2b7d5e121370b27532ed9e91c02a365fd0dea46d5c58b583e86e,Ava Audio Collection - French - Canada,https://my.oneforma.com/crowd/jobs/10516?from=list&tab=all,Worldwide,Data Collection,Data Collection,,,,French,French Canada,,language_dash_locale,high,title=Ava Audio Collection - French - Canada; location=Worldwide; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-dash-locale_6603,language_locale,oneforma,OneForma,6603,531,oneforma::177728::10515,528573b8ac2b39417f5b5860e7b92077b44dc6022ae738f930120eb0e3cf1d55,Ava Audio Collection - French - France,https://my.oneforma.com/crowd/jobs/10515?from=list&tab=all,Worldwide,Data Collection,Data Collection,,,,French,French France,,language_dash_locale,high,title=Ava Audio Collection - French - France; location=Worldwide; pattern=language_dash_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-parenthetical-locale_6851,language_locale,oneforma,OneForma,6851,542,oneforma::176234::11891,dba597b383ee5a151a6d4f2b1e56e1b5003b40be1cf862df0877bc40f58c041f,Acceptability and Preference: Translation Raters - English (United States) - Bulgarian (Bulgaria),https://my.oneforma.com/crowd/jobs/11891?from=list&tab=all,Worldwide,Translation,Translation,,,,English,English United States,,language_parenthetical_locale,high,title=Acceptability and Preference: Translation Raters - English (United States) - Bulgarian (Bulgaria); location=Worldwide; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-parenthetical-locale_6852,language_locale,oneforma,OneForma,6852,542,oneforma::176234::11865,e934ce6eeb2a050d5d8adac5eca4aa5b727d12e4e77f744051da6279b5672165,Acceptability and Preference: Translation Raters - English (United States) - Catalan (Spain),https://my.oneforma.com/crowd/jobs/11865?from=list&tab=all,Worldwide,Translation,Translation,,,,English,English United States,,language_parenthetical_locale,high,title=Acceptability and Preference: Translation Raters - English (United States) - Catalan (Spain); location=Worldwide; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-parenthetical-locale_6855,language_locale,oneforma,OneForma,6855,542,oneforma::176234::11867,965d1efd17b545cf930dbcd58916f342b4f8ec4cca9e70e477e5ba0b51851412,Acceptability and Preference: Translation Raters - English (United States) - Croatian (Croatia),https://my.oneforma.com/crowd/jobs/11867?from=list&tab=all,Worldwide,Translation,Translation,,,,English,English United States,,language_parenthetical_locale,high,title=Acceptability and Preference: Translation Raters - English (United States) - Croatian (Croatia); location=Worldwide; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
omgr_oneforma_language-locale_language-parenthetical-locale_6858,language_locale,oneforma,OneForma,6858,542,oneforma::176234::11890,59af248a650e9b15488a5ca8b5c94c686da9b60d0b905d204578b29beb8e52b6,Acceptability and Preference: Translation Raters - English (United States) - Dutch (Belgium),https://my.oneforma.com/crowd/jobs/11890?from=list&tab=all,Worldwide,Translation,Translation,,,,English,English United States,,language_parenthetical_locale,high,title=Acceptability and Preference: Translation Raters - English (United States) - Dutch (Belgium); location=Worldwide; pattern=language_parenthetical_locale,Locale is title-derived; verify it is language locale rather than applicant country.,Confirm language locale or keep diagnostic only.,pending_review,,,,,yes
